Tiempo Total;Max_Cola;Promedio_Espera
291,77;44;2,20
285,72;37;2,47
317,02;17;0,98
294,60;54;1,73
292,02;32;2,55
279,77;70;4,51
287,15;33;1,76
294,60;29;1,88
277,60;21;2,27
298,63;86;4,43
272,28;155;5,77
284,78;33;2,92
292,18;41;2,02
291,80;45;2,19
288,65;20;1,71
320,32;15;0,91
304,30;25;1,18
269,98;148;6,01
288,48;24;1,64
279,32;142;6,00
275,43;33;2,61
278,80;125;3,80
280,23;48;2,76
284,00;62;2,56
276,32;33;2,15
291,32;10;1,37
307,70;8;0,83
288,45;73;4,09
289,07;37;2,16
278,45;123;6,47
283,35;111;6,38
291,48;24;1,66
276,80;100;4,33
272,67;62;3,94
278,93;30;2,31
285,90;89;4,89
278,52;59;3,03
287,43;81;3,31
291,23;57;2,05
291,23;25;1,71
284,38;34;2,38
286,00;59;3,16
273,15;147;6,31
299,55;62;2,24
282,95;52;4,18
293,20;12;1,32
290,18;102;6,00
276,72;128;6,04
293,18;134;8,26
278,17;60;3,36
313,68;33;1,74
282,90;34;2,30
287,63;25;2,04
277,68;46;3,24
302,10;13;0,97
283,90;52;1,94
304,60;32;1,34
296,50;37;2,62
290,33;36;2,03
283,93;71;3,21
298,38;10;0,96
284,27;101;3,56
282,43;43;2,47
280,97;54;2,99
269,07;161;9,56
286,35;71;3,29
296,82;38;2,10
280,25;47;2,41
296,08;36;1,92
292,20;43;2,32
301,42;16;1,50
289,17;91;4,87
294,93;90;4,01
276,15;139;5,64
293,85;120;9,52
291,73;65;3,23
290,02;46;1,85
293,68;17;1,65
291,67;39;1,87
274,28;55;3,42
300,07;53;2,79
272,65;44;3,20
288,25;118;4,67
271,55;148;8,05
283,42;30;2,64
279,80;33;2,56
279,58;84;2,74
282,95;74;4,20
297,78;19;1,71
281,38;69;4,06
291,18;23;1,67
282,68;132;8,27
278,15;38;3,37
283,80;124;4,81
303,97;15;0,82
283,40;36;2,84
298,77;28;1,51
287,20;69;2,41
301,93;11;0,90
315,77;18;1,02
286,02;63;4,28
281,58;56;2,28
302,02;23;1,34
286,12;36;2,17
289,03;84;4,60
301,88;18;1,29
288,63;42;2,09
280,53;66;3,55
304,37;16;1,22
282,27;78;4,42
285,80;42;2,04
305,00;33;1,40
292,83;50;2,68
284,92;62;3,01
286,07;118;7,01
315,55;13;0,90
294,13;22;1,53
285,62;47;2,30
286,58;93;4,11
286,45;51;2,51
282,75;49;2,54
299,55;24;1,07
285,68;25;1,84
300,58;37;1,61
309,93;23;1,35
290,65;21;1,50
285,05;62;3,16
285,62;26;1,82
291,10;42;2,19
302,38;16;1,15
300,48;36;1,46
281,35;94;4,25
272,15;141;8,61
273,40;87;5,04
288,00;77;2,54
303,05;12;1,00
297,87;55;2,28
290,17;47;2,61
305,13;47;2,18
281,28;74;3,54
293,92;20;1,43
283,52;38;2,48
276,58;127;5,52
296,95;15;1,04
290,43;65;2,36
296,50;14;1,21
289,73;14;1,33
295,02;22;1,64
309,70;31;1,55
280,20;39;2,57
286,03;28;2,18
289,12;20;1,79
283,32;50;2,63
286,42;27;2,05
292,53;20;1,59
283,27;74;2,42
292,13;16;1,61
276,07;32;2,05
280,18;122;6,21
278,87;173;8,91
280,85;97;6,87
284,55;45;2,89
299,22;15;1,22
281,52;63;2,40
279,17;38;3,36
281,50;171;10,75
287,07;26;1,73
291,13;26;1,70
291,17;24;1,81
287,27;52;1,87
295,92;44;1,85
284,77;23;2,07
276,35;113;6,53
292,10;29;1,97
290,98;45;3,02
295,22;19;1,08
288,47;41;2,35
292,32;96;4,93
280,57;34;2,21
287,23;23;1,76
303,00;23;1,48
296,45;44;2,06
279,20;139;4,91
297,23;18;1,78
299,43;26;1,45
285,65;100;3,22
288,68;81;2,50
276,75;43;2,70
287,40;62;3,20
276,53;148;7,03
281,80;64;2,78
281,53;41;1,97
289,65;49;3,66
283,78;21;2,25
302,32;16;1,34
283,50;51;3,01
286,02;31;2,33
277,90;71;5,83
271,92;154;5,02
290,32;15;1,13
283,70;49;2,69
285,38;24;2,23
300,10;21;1,54
289,62;36;2,51
294,23;33;1,94
291,72;54;1,62
278,27;49;3,14
285,17;29;1,49
291,02;78;3,75
279,30;118;4,56
302,93;18;0,88
277,88;59;2,92
287,23;50;2,94
278,00;57;3,03
290,67;40;2,50
275,07;86;4,48
289,32;29;1,91
284,47;76;4,33
291,43;44;1,66
295,13;35;1,63
292,83;75;3,15
288,00;32;2,21
278,33;50;3,59
296,83;80;3,71
308,08;20;1,26
283,02;111;6,46
280,45;38;2,70
293,53;19;1,29
279,18;59;4,17
274,08;73;4,48
288,33;58;3,88
283,83;70;3,15
297,10;71;2,61
275,82;19;1,95
277,08;89;4,20
295,73;46;2,59
289,73;29;2,41
277,22;107;7,56
297,15;18;1,40
276,75;82;3,08
288,00;25;1,65
283,75;38;2,49
275,98;112;4,26
298,93;26;1,27
287,70;16;1,55
301,05;33;1,83
299,53;19;1,75
290,10;38;2,68
288,27;32;2,55
285,02;81;3,15
295,02;58;2,47
291,73;39;1,90
292,37;17;1,58
292,93;24;2,34
277,02;141;7,13
303,33;69;2,41
297,98;25;1,17
273,72;65;4,37
300,23;24;1,50
291,77;90;5,81
293,78;20;1,37
276,77;63;3,37
284,40;117;9,79
277,42;79;4,44
293,58;32;1,77
280,98;70;5,63
282,37;126;4,62
282,57;82;3,68
289,37;17;1,45
276,15;40;2,55
294,33;65;2,88
290,75;27;1,65
294,87;52;1,93
285,45;30;2,18
296,60;19;1,68
282,13;67;7,30
283,47;25;1,83
299,43;41;2,08
290,23;24;1,78
283,55;44;2,22
305,57;39;1,69
276,88;127;7,23
284,32;67;3,21
299,28;24;1,59
280,73;98;7,00
278,42;43;4,19
287,77;36;1,53
284,53;45;3,30
301,02;11;1,25
274,87;103;4,05
287,03;25;2,01
301,43;11;1,03
276,18;68;3,21
296,98;26;1,44
299,28;70;3,84
284,12;126;5,34
277,40;31;2,19
284,85;44;2,95
279,02;129;4,66
293,28;38;1,97
290,90;23;1,44
285,58;44;3,03
277,32;56;3,09
304,45;17;1,03
285,42;130;6,26
306,82;11;1,02
291,93;35;2,28
290,22;25;2,08
292,10;17;1,54
277,93;145;7,10
285,03;34;1,69
286,15;57;2,76
276,60;77;3,81
278,67;104;4,42
285,90;36;2,32
297,45;30;2,45
289,18;40;2,68
291,27;55;2,71
287,37;23;1,36
296,25;36;2,32
295,33;26;1,68
283,70;98;4,29
273,88;158;7,29
285,05;7;0,95
291,42;51;3,43
290,72;53;3,65
297,35;69;2,65
282,98;81;3,61
292,48;60;2,31
280,33;84;3,67
294,55;25;1,59
287,23;114;4,72
282,35;40;2,02
294,75;30;1,72
278,12;82;4,79
291,72;48;2,36
285,85;26;1,79
285,83;60;2,02
289,38;58;3,46
297,38;10;1,18
277,00;83;3,43
276,08;152;5,27
289,62;12;1,40
301,83;32;1,63
302,02;18;1,35
295,32;60;2,81
297,72;12;0,95
286,55;54;3,14
286,30;20;1,89
290,77;23;1,58
287,28;43;2,12
286,87;98;4,40
281,67;36;2,07
297,27;37;1,95
302,92;12;1,15
300,95;41;1,94
283,28;79;5,60
294,27;53;2,46
292,58;18;1,48
294,82;44;2,33
305,90;28;0,97
285,05;43;1,89
293,72;22;1,50
294,07;18;1,17
295,87;15;1,39
280,82;50;2,67
282,08;80;5,42
292,80;22;1,65
289,03;22;1,66
290,92;23;1,82
277,67;146;6,09
277,97;66;3,87
302,93;32;1,41
297,83;23;1,68
279,10;36;2,56
293,33;43;2,63
291,77;38;2,28
281,48;114;3,89
294,75;44;1,95
303,87;28;1,52
279,05;40;2,59
292,90;65;3,93
288,80;73;3,37
297,70;29;1,74
287,37;38;2,71
277,43;105;4,86
280,35;87;5,93
296,33;103;6,14
292,55;30;1,85
305,90;8;0,73
297,27;30;1,39
282,68;38;3,01
271,02;133;7,62
282,70;97;6,08
287,57;28;2,34
278,77;127;4,76
280,78;38;2,34
298,00;12;1,26
304,15;10;1,34
279,47;74;3,18
287,22;8;1,14
